"filename", "language", "JavaScript", "Markdown", "PostCSS", "YAML", "JavaScript JSX", "SVG", "XML", "HTML", "Docker", "comment", "blank", "total"
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\components\HelpButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\components\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\components\MusicComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\components\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\components\SmoothScroll.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 6, 41
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\components\SpotifyPlayer.jsx", "JavaScript JSX", 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 10, 147
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\components\Title.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\hooks\useEmotionAnalysis.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 7, 49
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\hooks\useEmotionGradient.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 9, 34
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\hooks\useLocalStorage.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\hooks\useRecaptchaLanguage.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\hooks\useResizablePanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 11, 15, 79
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\i18n.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\index.css", "PostCSS", 0, 0, 366, 0, 0, 0, 0, 0, 0, 15, 86, 467
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 10, 3, 26
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\metadata\AppWithMeta.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Chat.jsx", "JavaScript JSX", 0, 0, 0, 0, 238, 0, 0, 0, 0, 2, 18, 258
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Contacts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 10, 149
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Help.jsx", "JavaScript JSX", 0, 0, 0, 0, 202, 0, 0, 0, 0, 0, 10, 212
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 11, 160
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 0, 8, 5, 124
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Notifications.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Privacy.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 2, 50
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 335, 0, 0, 0, 0, 5, 31, 371
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\400.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\401.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\403.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\404.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\500.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\captcha.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\forgotPasswordsHandlers.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 73
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\loginHandlers.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 44
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\registerHandlers.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 86
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\utils\peppeteer.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 116
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\utils\spotify.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\utils\toast.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\utils\translate.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\validate\forgotPasswordSchema.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\validate\loginSchema.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\validate\registerSchema.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 127
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\tailwind.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 22
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\translate-text.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\vite.config.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 35, 8, 199
"Total", "-", 3496, 7, 413, 32, 2424, 60, 7, 37, 9, 2095, 589, 9169
