"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "HTML", "Docker", "Python", "comment", "blank", "total"
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Help.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, -1, 13
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, -6, 22
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Login.jsx", "JavaScript JSX", 0, 0, -10, 0, 0, 0, 8, 1, -1
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Privacy.jsx", "JavaScript JSX", 0, 0, -7, 0, 0, 0, 0, 0, -7
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Profile.jsx", "JavaScript JSX", 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Register.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 2, 3
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\400.jsx", "JavaScript JSX", 0, 0, -21, 0, 0, 0, 0, -2, -23
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\401.jsx", "JavaScript JSX", 0, 0, -21, 0, 0, 0, 0, -2, -23
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\403.jsx", "JavaScript JSX", 0, 0, -21, 0, 0, 0, 0, -2, -23
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\404.jsx", "JavaScript JSX", 0, 0, -19, 0, 0, 0, 0, -2, -21
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\pages\errors\500.jsx", "JavaScript JSX", 0, 0, -8, 0, 0, 0, 0, 0, -8
"c:\Users\karen\OneDrive\Рабочий стол\3 курс\2 семак\Messenger\messenger-app\src\services\forgotPasswordsHandlers.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, -4, 9
